collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T07:15:00Z,2026-09-19T09:15:00+0200,864.31,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T07:30:00Z,2026-09-19T09:30:00+0200,854.95,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T07:45:00Z,2026-09-19T09:45:00+0200,853.15,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T08:00:00Z,2026-09-19T10:00:00+0200,862.7,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T08:15:00Z,2026-09-19T10:15:00+0200,852.67,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T08:30:00Z,2026-09-19T10:30:00+0200,846.38,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T08:45:00Z,2026-09-19T10:45:00+0200,828.05,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T09:00:00Z,2026-09-19T11:00:00+0200,837.43,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T09:15:00Z,2026-09-19T11:15:00+0200,803.98,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T09:30:00Z,2026-09-19T11:30:00+0200,776.76,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T09:45:00Z,2026-09-19T11:45:00+0200,747.51,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T10:00:00Z,2026-09-19T12:00:00+0200,667.92,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T10:15:00Z,2026-09-19T12:15:00+0200,374.21,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T10:30:00Z,2026-09-19T12:30:00+0200,136.86,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T10:45:00Z,2026-09-19T12:45:00+0200,117.75,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T11:00:00Z,2026-09-19T13:00:00+0200,115.66,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T11:15:00Z,2026-09-19T13:15:00+0200,129.56,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T11:30:00Z,2026-09-19T13:30:00+0200,133.98,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T11:45:00Z,2026-09-19T13:45:00+0200,121.5,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T12:00:00Z,2026-09-19T14:00:00+0200,111.41,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T12:15:00Z,2026-09-19T14:15:00+0200,111.69,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T12:30:00Z,2026-09-19T14:30:00+0200,117.74,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
2026-09-19T13:12:23Z,2026-09-19T15:12:23+0200,5bab0df8-b5c6-42a2-b610-72cc5ecabc3d,2026-09-19T12:45:00Z,2026-09-19T14:45:00+0200,113.5,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T13:14:45Z
